Date,Time,DateTime,Temp_Box,Hum_Box,Temp_284,Hum_284
2021-08-03,0:00:00,03/08/21 00:00,19.83333333,47,32,44.8
2021-08-03,1:00:00,03/08/21 01:00,19,50,32,46.33333333
2021-08-03,2:00:00,03/08/21 02:00,18.5,53.33333333,31.33333333,43.66666667
2021-08-03,3:00:00,03/08/21 03:00,18,55.66666667,31,43.5
2021-08-03,4:00:00,03/08/21 04:00,17.33333333,58.83333333,31,44.66666667
2021-08-03,5:00:00,03/08/21 05:00,17.33333333,59.33333333,30.83333333,45.83333333
2021-08-03,6:00:00,03/08/21 06:00,16.83333333,62.83333333,30,48
2021-08-03,7:00:00,03/08/21 07:00,21,54.83333333,30.16666667,51.16666667
2021-08-03,8:00:00,03/08/21 08:00,28.33333333,39.5,30.66666667,50.16666667
2021-08-03,9:00:00,03/08/21 09:00,32,32.83333333,32,51
2021-08-03,10:00:00,03/08/21 10:00,34.5,28.83333333,33.5,52.33333333
2021-08-03,11:00:00,03/08/21 11:00,36.33333333,24.66666667,34,58.66666667
2021-08-03,12:00:00,03/08/21 12:00,38,21.66666667,34,60.33333333
2021-08-03,13:00:00,03/08/21 13:00,39.5,19.83333333,34.83333333,60.66666667
2021-08-03,14:00:00,03/08/21 14:00,40,22.5,35.5,52.16666667
2021-08-03,15:00:00,03/08/21 15:00,41.33333333,20.16666667,36,51
2021-08-03,16:00:00,03/08/21 16:00,40.66666667,21.16666667,35.33333333,53.5
2021-08-03,17:00:00,03/08/21 17:00,38.33333333,19.33333333,35,52
2021-08-03,18:00:00,03/08/21 18:00,35.66666667,25.5,35,53
2021-08-03,19:00:00,03/08/21 19:00,31.16666667,31.16666667,35,52.33333333
2021-08-03,20:00:00,03/08/21 20:00,28,37.66666667,34,45.83333333
2021-08-03,21:00:00,03/08/21 21:00,25.5,44.33333333,33.83333333,50.83333333
2021-08-03,22:00:00,03/08/21 22:00,23,49.5,34,57
2021-08-03,23:00:00,03/08/21 23:00,22,55.33333333,34,59.33333333
2021-08-06,0:00:00,06/08/21 00:00,20.33333333,67.66666667,33,53.8
2021-08-06,1:00:00,06/08/21 01:00,20,71,32.66666667,53.5
2021-08-06,2:00:00,06/08/21 02:00,19.33333333,75.66666667,32,52.33333333
2021-08-06,3:00:00,06/08/21 03:00,18.33333333,78.83333333,32,53.33333333
2021-08-06,4:00:00,06/08/21 04:00,18,81.66666667,32,53.66666667
2021-08-06,5:00:00,06/08/21 05:00,17,83.16666667,31.66666667,55.16666667
2021-08-06,6:00:00,06/08/21 06:00,17,86.5,31,54.83333333
2021-08-06,7:00:00,06/08/21 07:00,19.66666667,82.66666667,31.66666667,55.16666667
2021-08-06,8:00:00,06/08/21 08:00,24.66666667,66.66666667,32,56.33333333
2021-08-06,9:00:00,06/08/21 09:00,28.33333333,55.66666667,32.5,57.5
2021-08-06,10:00:00,06/08/21 10:00,30.83333333,47.83333333,33.83333333,57.66666667
2021-08-06,11:00:00,06/08/21 11:00,33,41.66666667,34.83333333,57.83333333
2021-08-06,12:00:00,06/08/21 12:00,34.83333333,37.5,35.5,52
2021-08-06,13:00:00,06/08/21 13:00,36.66666667,34.16666667,36,51.16666667
2021-08-06,14:00:00,06/08/21 14:00,37.16666667,34.33333333,36,52.5
2021-08-06,15:00:00,06/08/21 15:00,36.66666667,33,35.66666667,54
2021-08-06,16:00:00,06/08/21 16:00,36.33333333,35,36,55.83333333
2021-08-06,17:00:00,06/08/21 17:00,34.33333333,37.83333333,36,49.83333333
2021-08-06,18:00:00,06/08/21 18:00,31,43,35.5,53
2021-08-06,19:00:00,06/08/21 19:00,27.16666667,51.5,35,57.16666667
2021-08-06,20:00:00,06/08/21 20:00,24.33333333,60.33333333,34.66666667,60.33333333
2021-08-06,21:00:00,06/08/21 21:00,22.16666667,65.5,34,59.33333333
2021-08-06,22:00:00,06/08/21 22:00,20.83333333,72.66666667,34,59
2021-08-06,23:00:00,06/08/21 23:00,20,76.5,33.33333333,57
2021-08-07,0:00:00,07/08/21 00:00,19.16666667,80.5,33,56.5
2021-08-07,1:00:00,07/08/21 01:00,17.83333333,83.83333333,32.5,55.83333333
2021-08-07,2:00:00,07/08/21 02:00,17,85,32,54.5
2021-08-07,3:00:00,07/08/21 03:00,16,88.66666667,32,54.83333333
2021-08-07,4:00:00,07/08/21 04:00,16,89.5,31.33333333,54
2021-08-07,5:00:00,07/08/21 05:00,15.16666667,90.83333333,31,53
2021-08-07,6:00:00,07/08/21 06:00,15.16666667,91.66666667,31,54.16666667
2021-08-07,7:00:00,07/08/21 07:00,17.66666667,90.83333333,31,54.5
2021-08-07,8:00:00,07/08/21 08:00,23.33333333,73.5,31,55.33333333
2021-08-07,9:00:00,07/08/21 09:00,26.83333333,61,32,55.16666667
2021-08-07,10:00:00,07/08/21 10:00,30,50.83333333,33.33333333,57.16666667
2021-08-07,11:00:00,07/08/21 11:00,32.33333333,44.16666667,34.16666667,58.33333333
