Date,Time,DateTime,Temp_Box,Hum_Box,Temp_266,Hum_266
2021-08-06,18:00:00,06/08/21 18:00,31,43,35.33333333,43.83333333
2021-08-06,19:00:00,06/08/21 19:00,27.16666667,51.5,34.16666667,48.5
2021-08-06,20:00:00,06/08/21 20:00,24.33333333,60.33333333,33.16666667,49.83333333
2021-08-06,21:00:00,06/08/21 21:00,22.16666667,65.5,32.66666667,51.16666667
2021-08-06,22:00:00,06/08/21 22:00,20.83333333,72.66666667,33,55.33333333
2021-08-06,23:00:00,06/08/21 23:00,20,76.5,32.66666667,57.66666667
2021-08-07,0:00:00,07/08/21 00:00,19.16666667,80.5,32.5,60.66666667
2021-08-07,1:00:00,07/08/21 01:00,17.83333333,83.83333333,32.16666667,61.5
2021-08-07,2:00:00,07/08/21 02:00,17,85,32,61.83333333
2021-08-07,3:00:00,07/08/21 03:00,16,88.66666667,32,61.5
2021-08-07,4:00:00,07/08/21 04:00,16,89.5,32,62.16666667
2021-08-07,5:00:00,07/08/21 05:00,15.16666667,90.83333333,31.33333333,60.5
2021-08-07,6:00:00,07/08/21 06:00,15.16666667,91.66666667,31,60.16666667
2021-08-07,7:00:00,07/08/21 07:00,17.66666667,90.83333333,31.33333333,60.16666667
2021-08-07,8:00:00,07/08/21 08:00,23.33333333,73.5,32.16666667,58.83333333
2021-08-07,9:00:00,07/08/21 09:00,26.83333333,61,33.33333333,61
2021-08-07,10:00:00,07/08/21 10:00,30,50.83333333,34,58
2021-08-07,11:00:00,07/08/21 11:00,32.33333333,44.16666667,35.16666667,51.66666667
2021-08-07,12:00:00,07/08/21 12:00,34.33333333,40,36,45.66666667
2021-08-07,13:00:00,07/08/21 13:00,36.83333333,33.16666667,36.33333333,42.16666667
2021-08-07,14:00:00,07/08/21 14:00,38.5,27.83333333,36.83333333,40.83333333
2021-08-07,15:00:00,07/08/21 15:00,37.83333333,29.83333333,37,40.66666667
2021-08-07,16:00:00,07/08/21 16:00,36.5,33.83333333,36.66666667,40.83333333
2021-08-07,17:00:00,07/08/21 17:00,34.16666667,36.5,36,42.66666667
2021-08-07,18:00:00,07/08/21 18:00,30.66666667,42.33333333,35.33333333,42.83333333
2021-08-07,19:00:00,07/08/21 19:00,26.66666667,50.5,34.66666667,52.16666667
2021-08-07,20:00:00,07/08/21 20:00,24,57.33333333,34,56.83333333
2021-08-07,21:00:00,07/08/21 21:00,21.83333333,63.5,34,59.33333333
2021-08-07,22:00:00,07/08/21 22:00,20.66666667,69,34,59
2021-08-07,23:00:00,07/08/21 23:00,19.5,74.5,33.16666667,58.66666667
2021-08-08,0:00:00,08/08/21 00:00,18.66666667,79.5,33,60.16666667
2021-08-08,1:00:00,08/08/21 01:00,17.33333333,83,32.5,60.5
2021-08-08,2:00:00,08/08/21 02:00,17,84.83333333,32.16666667,61.5
2021-08-08,3:00:00,08/08/21 03:00,16.33333333,88.33333333,32,61.33333333
2021-08-08,4:00:00,08/08/21 04:00,16,89.5,32,62.66666667
2021-08-08,5:00:00,08/08/21 05:00,16,90.16666667,31.83333333,59.16666667
2021-08-08,6:00:00,08/08/21 06:00,15.83333333,91.33333333,31.16666667,63
2021-08-08,7:00:00,08/08/21 07:00,18.5,89.66666667,31.83333333,61.66666667
2021-08-08,8:00:00,08/08/21 08:00,24.16666667,71,32,61
2021-08-08,9:00:00,08/08/21 09:00,27,58.83333333,33.16666667,61.16666667
2021-08-08,10:00:00,08/08/21 10:00,28.5,53.5,34,57.6
2021-08-08,11:00:00,08/08/21 11:00,30,48.66666667,35,55.5
2021-08-08,12:00:00,08/08/21 12:00,32.33333333,41.33333333,35.33333333,47.33333333
2021-08-08,13:00:00,08/08/21 13:00,34.5,36.33333333,36,43.66666667
2021-08-08,14:00:00,08/08/21 14:00,35.83333333,33,36,42.5
2021-08-08,15:00:00,08/08/21 15:00,36.83333333,29.83333333,36,42.83333333
2021-08-08,16:00:00,08/08/21 16:00,38,28.5,36.16666667,43.16666667
2021-08-08,17:00:00,08/08/21 17:00,37,29.33333333,36,44.66666667
2021-08-08,18:00:00,08/08/21 18:00,33.33333333,33.5,35.66666667,41.5
2021-08-08,19:00:00,08/08/21 19:00,27.66666667,43.66666667,34,44.33333333
2021-08-08,20:00:00,08/08/21 20:00,25.66666667,50.33333333,33.33333333,47.16666667
2021-08-08,21:00:00,08/08/21 21:00,23,58.16666667,33,51.83333333
2021-08-08,22:00:00,08/08/21 22:00,21.33333333,64.5,32.83333333,54.66666667
2021-08-08,23:00:00,08/08/21 23:00,20,71.83333333,32.66666667,57.66666667
2021-08-09,0:00:00,09/08/21 00:00,18.83333333,78.16666667,32,59.16666667
2021-08-09,1:00:00,09/08/21 01:00,18,83.5,32,62.66666667
2021-08-09,2:00:00,09/08/21 02:00,17.33333333,85.5,32,63.33333333
2021-08-09,3:00:00,09/08/21 03:00,17,89,32,62.83333333
2021-08-09,4:00:00,09/08/21 04:00,16.5,90.83333333,31.83333333,62.83333333
2021-08-09,5:00:00,09/08/21 05:00,16.16666667,91.5,31.16666667,63
2021-08-09,6:00:00,09/08/21 06:00,16,91.83333333,31.33333333,63.83333333
2021-08-09,7:00:00,09/08/21 07:00,18.66666667,89.16666667,31.5,65.33333333
2021-08-09,8:00:00,09/08/21 08:00,24.5,69.5,32,63
2021-08-09,9:00:00,09/08/21 09:00,27.33333333,59.5,32.83333333,62.16666667
2021-08-09,10:00:00,09/08/21 10:00,29,52.33333333,33.83333333,60.16666667
2021-08-09,11:00:00,09/08/21 11:00,31.66666667,45.16666667,34.66666667,54.83333333
2021-08-09,12:00:00,09/08/21 12:00,33.5,38.66666667,35.66666667,46.5
2021-08-09,13:00:00,09/08/21 13:00,36,31.66666667,36,43
2021-08-09,14:00:00,09/08/21 14:00,37.33333333,30.5,36,42.5
2021-08-09,15:00:00,09/08/21 15:00,37.5,30,36.33333333,44
2021-08-09,16:00:00,09/08/21 16:00,37.33333333,29,36.5,44.83333333
2021-08-09,17:00:00,09/08/21 17:00,35.33333333,28.66666667,36,42
2021-08-09,18:00:00,09/08/21 18:00,32.66666667,31.5,35.33333333,39.66666667
2021-08-09,19:00:00,09/08/21 19:00,28.66666667,39.33333333,34.16666667,41.83333333
2021-08-09,20:00:00,09/08/21 20:00,25.66666667,47.83333333,34,49.83333333
2021-08-09,21:00:00,09/08/21 21:00,24,55.5,33.83333333,57.66666667
2021-08-09,22:00:00,09/08/21 22:00,22.33333333,64.33333333,33.5,60.16666667
2021-08-09,23:00:00,09/08/21 23:00,21.16666667,66.83333333,33.16666667,61
2021-08-10,0:00:00,10/08/21 00:00,20,72.16666667,33,61
2021-08-10,1:00:00,10/08/21 01:00,19.16666667,75.33333333,33,60.33333333
2021-08-10,2:00:00,10/08/21 02:00,19,79.33333333,32.5,61.5
2021-08-10,3:00:00,10/08/21 03:00,18.83333333,80.66666667,32,61.83333333
2021-08-10,4:00:00,10/08/21 04:00,18.33333333,81,32,61.5
2021-08-10,5:00:00,10/08/21 05:00,18,83.33333333,32,60.66666667
2021-08-10,6:00:00,10/08/21 06:00,18.16666667,85.16666667,32,63
2021-08-10,7:00:00,10/08/21 07:00,20.2,81,32,62.2
2021-08-10,8:00:00,10/08/21 08:00,26.33333333,59.66666667,32,61
2021-08-10,9:00:00,10/08/21 09:00,28.33333333,54.16666667,33,60.5
2021-08-10,10:00:00,10/08/21 10:00,30.66666667,46.33333333,33.83333333,56.83333333
2021-08-10,11:00:00,10/08/21 11:00,33.5,38.66666667,35,50.5
